"Ext","Name","SizeMB","Modified","Path"
".aip","PlanetXUI.aip","0,44","2026-07-03","Plug-ins\Illustrator UI\PlanetXUI.aip"
".dll","ASMOFST230A.dll","0,44","2026-07-03","Support Files\Contents\Windows\ASMOFST230A.dll"
".dll","adobeusd_ndr.dll","0,44","2026-07-03","Support Files\Contents\Windows\adobeusd_ndr.dll"
".dll","dvawhatsnewui.dll","0,44","2026-07-03","Support Files\Contents\Windows\dvawhatsnewui.dll"
".aip","PerspectiveUI.aip","0,43","2026-07-03","Plug-ins\Illustrator UI\PerspectiveUI.aip"
".exe","AIRobin.exe","0,43","2026-07-03","Support Files\Contents\Windows\AIRobin.exe"
".dll","dvavulcansupport.dll","0,43","2026-07-03","Support Files\Contents\Windows\dvavulcansupport.dll"
".aip","altglyph.aip","0,42","2026-07-03","Plug-ins\Extensions\altglyph.aip"
".smrd","Reader for RTF.smrd","0,41","2026-07-03","Plug-ins\Illustrator Formats\Reader for RTF.smrd"
".aip","VariablesPaletteUI.aip","0,41","2026-07-03","Plug-ins\Illustrator UI\VariablesPaletteUI.aip"
".aip","sangamservice.aip","0,41","2026-07-03","Plug-ins\Illustrator Formats\sangamservice.aip"
